                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.54705,                 5.4705,                0.39668,                0.47727,                 1.0915,                0.94553,                   0.98,                0.97688,                0.75895,                0.45583,                0.47333,                0.24673,                0.05406,                0.86326,                 5.0361,                0.16026,                0.46021,                 1.3318,              0.0095149,              0.0095149,              0.0095149
                     51,                0.55677,                  5.425,                0.38441,                 0.4756,                 1.1001,                0.94364,                   0.96,                0.98311,                 0.7737,                0.45763,                   0.48,                0.25371,                0.05524,                0.75957,                 5.0261,                0.19484,                0.50529,                 1.2076,               0.009505,               0.009505,               0.009505
                     52,                0.54072,                 5.3841,                0.38507,                0.47278,                 1.0835,                0.96071,                0.97813,                0.98124,                 0.7961,                0.47425,                0.49311,                0.27311,                0.06657,                0.81675,                   4.82,                 0.1804,                0.43796,                  1.297,              0.0094951,              0.0094951,              0.0094951
                     53,                0.54721,                 5.4181,                0.38417,                0.46375,                 1.0791,                0.97188,                   0.98,                0.98144,                0.77319,                0.52196,                    0.5,                0.30635,                0.07093,                0.81453,                 4.8143,                0.17369,                0.45551,                 1.2626,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.5357,                 5.3796,                0.38635,                0.46849,                 1.0813,                0.97847,                0.99333,                0.99256,                0.79218,                0.48023,                   0.46,                0.24259,                0.06049,                0.79455,                 4.9231,                0.17551,                0.44684,                 1.2324,              0.0094753,              0.0094753,              0.0094753
                     55,                0.53037,                 5.3513,                0.38707,                0.45755,                 1.0835,                0.96675,                0.96925,                 0.9895,                0.78817,                0.48581,                0.48667,                0.26922,                0.06438,                0.80847,                 4.9344,                 0.1835,                0.47102,                 1.2502,              0.0094654,              0.0094654,              0.0094654
                     56,                0.54138,                 5.4235,                0.38239,                 0.4568,                  1.082,                0.97356,                0.97333,                0.98616,                0.75795,                0.46215,                   0.44,                 0.2404,                0.06058,                0.83826,                 4.9559,                0.15852,                0.50333,                 1.2971,              0.0094555,              0.0094555,              0.0094555
                     57,                0.54034,                 5.2959,                0.37629,                0.46305,                 1.0773,                0.96093,                0.98394,                  0.991,                0.77292,                0.51572,                0.52667,                0.30085,                0.07058,                0.79375,                 4.8982,                0.16905,                0.47747,                   1.27,              0.0094456,              0.0094456,              0.0094456
                     58,                0.53726,                 5.3453,                0.38606,                0.46605,                 1.0911,                0.96542,                0.98667,                0.99085,                0.79458,                0.48131,                0.49333,                0.27849,                0.06758,                0.78449,                 4.7654,                0.15001,                0.44744,                 1.2422,              0.0094357,              0.0094357,              0.0094357
                     59,                0.53152,                 5.3577,                0.37907,                0.46687,                 1.0785,                0.95472,                0.98395,                0.99226,                0.75458,                 0.5275,                   0.54,                0.32611,                0.07049,                0.85071,                 4.8266,                0.15743,                 0.4796,                 1.2828,              0.0094258,              0.0094258,              0.0094258
